soc_code,s_ij,E_j,E_sub_j,E_aug_j,isco_4digit,mapping_stage,ch_isco_4digit,ch_isco_label,main_group,employed_2022,employed_2024,delta_bfs,is_outlier
17-3022.00,0.48173596692970994,0.0,0.0,0.0,3112,1,3112,Bauführer und Bautechniker,3,38.516833221537,38.94519300831815,1.1121365671922114,False
17-3023.00,0.3652373212561878,0.0,0.0,0.0,3114,1,3114,Techniker im Bereich Elektronik,3,1.366058589767,1.7857538578456174,30.723079611849,False
17-3024.00,0.17499138307639947,0.0,0.0,0.0,3115,1,3115,"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse",3,11.019605854272998,11.97433846910366,8.663945221420533,False
17-3024.01,0.2678453984429633,0.0,0.0,0.0,3119,1,3119,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt",3,18.554461015303,18.856387509419907,1.62724475730064,False
17-3025.00,0.10764488103774046,0.0,0.0,0.0,2143,1,2143,Umweltschutzingenieure,2,1.509607549755,1.708519801270991,13.176421351911834,False
17-3026.00,0.3240864652312387,0.0,0.0,0.0,3119,1,3119,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt",3,18.554461015303,18.856387509419907,1.62724475730064,False
17-3026.01,0.45416702308100504,0.0,0.0,0.0,3141,1,3141,Biotechniker (ohne medizinische Fachberufe),3,3.350140159418,3.229993311397246,-3.5863230283961043,False
17-3027.00,0.27922757250684127,0.0,0.0,0.0,3115,1,3115,"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse",3,11.019605854272998,11.97433846910366,8.663945221420533,False
17-3027.01,0.40493972673106726,0.0,0.0,0.0,3115,1,3115,"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse",3,11.019605854272998,11.97433846910366,8.663945221420533,False
17-3031.00,0.46600916093934003,0.0,0.0,0.0,2165,1,2165,Kartografen und Vermessungsingenieure,2,1.377854227406,1.5452771434024477,12.150989028182206,False
19-1011.00,0.38732891177080553,0.0,0.0,0.0,2131,1,2131,"Biologen, Botaniker, Zoologen und verwandte Berufe",2,8.866294443315,9.867582137765408,11.293192447554636,False
19-1012.00,0.3034793555341671,0.0,0.0,0.0,2145,1,2145,Chemieingenieure,2,2.5566012285310005,2.4504455883913967,-4.152217364011823,False
19-1013.00,0.4456782085173014,0.0,0.0,0.0,2133,1,2133,Umweltwissenschaftler,2,3.499424292972,4.195820269836831,19.90030126565172,False
